rain,from,to,count
1,upper east side,washington heights,1
1,midtown,forest hills,1
1,gramercy,greewood,2
1,upper east side,south bronx,1
1,inwood,upper west side,1
1,gramercy,upper east side,2
1,chelsea,bedford-stuyvesant,2
1,clinton,garment district,2
1,williamsburg,chelsea,1
1,hamilton heights,mott haven,1
1,garment district,upper west side,1
1,upper west side,utopia,1
1,midtown,chelsea,9
1,morningside heights,upper west side,1
1,midtown,LGA,5
1,gramercy,upper west side,5
1,midtown,west village,3
1,gramercy,harlem,1
1,west village,upper east side,3
1,chelsea,upper west side,9
1,greenwich village,fort green,1
1,west village,carroll gardens,1
1,greenwich village,brooklyn-downtown,1
1,harlem,JFK,1
1,soho,chelsea,1
1,greenwich village,central park,1
1,williamsburg,ridgewood,1
1,little italy,little italy,1
1,midtown,upper east side,8
1,chinatown,fort green,1
1,greenwich village,sunny side,1
1,lower east side,tribeca,1
1,west village,upper west side,4
1,gramercy,williamsburg,2
1,midtown,mapleton-flatlands,1
1,midtown,country club,1
1,yorkville,east harlem,1
1,chelsea,soho,3
1,chelsea,williamsburg,1
1,midtown,soundview,1
1,soho,williamsburg,1
1,financial district,chelsea,1
1,upper west side,LGA,2
1,gramercy,east harlem,1
1,garment district,financial district,2
1,lower east side,washington heights,1
1,upper east side,JFK,2
1,harlem,harlem,2
1,east village,lower east side,7
1,washington heights,midtown,1
1,carnegie hill,carnegie hill,1
1,chelsea,east harlem,3
1,upper east side,yorkville,2
1,upper east side,forest hills,1
1,west village,north sutton area,1
1,sunny side,ridgewood,1
1,east village,yorkville,1
1,east village,clinton,1
1,astoria-long island city,sunny side,5
1,midtown,north sutton area,1
1,upper east side,upper east side,18
1,chinatown,brooklyn-downtown,1
1,chelsea,boerum hill,1
1,garment district,greenwich village,1
1,lower east side,clinton,1
1,soho,sunset park,1
1,lower east side,financial district,7
1,east village,LGA,2
1,midtown,yorkville,3
1,west village,fort green,2
1,harlem,gramercy,1
1,lower east side,williamsburg,7
1,lower east side,chinatown,1
1,clinton,soho,1
1,north sutton area,murray hill,1
1,gramercy,financial district,2
1,midtown,soho,1
1,west village,greenwich village,2
1,east village,sunny side,2
1,east village,bushwick,3
1,gramercy,clinton,2
1,central park,harlem,1
1,jamaica,east brooklyn,1
1,upper east side,high bridge,2
1,upper west side,forest hills,1
1,sunny side,woodside,1
1,lower east side,sunny side,1
1,JFK,midtown,1
1,williamsburg,chinatown,1
1,washington heights,upper west side,1
1,LGA,morningside heights,2
1,chelsea,chinatown,3
1,little italy,financial district,7
1,JFK,midtown,21
1,LGA,east village,1
1,morningside heights,morningside heights,4
1,yorkville,LGA,5
1,battery park,battery park,2
1,murray hill,little italy,2
1,upper west side,williamsburg,2
1,battery park,tribeca,3
1,garment district,soho,4
1,garment district,LGA,2
1,central park,harlem,3
1,chinatown,murray hill,2
1,east village,brooklyn-downtown,2
1,greenwich village,battery park,4
1,JFK,financial district,1
1,upper east side,north sutton area,23
1,yorkville,lower east side,1
1,west village,greenwich village,2
1,midtown,soho,18
