temp,from,to,count
2,upper east side,inwood,2
2,soho,battery park,7
2,clinton,garment district,26
2,LGA,sunny side,4
2,west village,central park,1
2,upper east side,hamilton heights,4
2,greenwich village,williamsburg,2
2,financial district,upper west side,3
2,upper west side,morningside heights,44
2,chinatown,financial district,3
2,central park,financial district,2
2,gramercy,mapleton-flatlands,1
2,financial district,greenwich village,13
2,financial district,lower east side,14
2,north sutton area,north sutton area,2
2,JFK,east village,6
2,astoria-long island city,astoria-long island city,17
2,LGA,astoria-long island city,14
2,upper west side,battery park,2
2,clinton,midtown,63
2,harlem,hamilton heights,4
2,yorkville,north sutton area,1
2,carnegie hill,financial district,1
2,LGA,forest hills,2
2,tribeca,chinatown,1
2,hamilton heights,east harlem,1
2,midtown,greenwich village,61
2,hamilton heights,morningside heights,2
2,lower east side,chelsea,9
2,central park,chelsea,3
2,washington heights,washington heights,3
2,lower east side,west village,5
2,morningside heights,washington heights,2
2,soho,midtown,32
2,financial district,garment district,22
2,upper east side,tribeca,9
2,tribeca,JFK,2
2,JFK,battery park,4
2,midtown,central park,34
2,upper east side,morningside heights,11
2,clinton,soho,1
2,LGA,LGA,4
2,JFK,throggs neck,2
2,financial district,richmondtown,1
2,north sutton area,yorkville,1
2,LGA,carnegie hill,4
2,LGA,williams bridge,1
2,LGA,bedford-stuyvesant,5
2,chelsea,fort green,1
2,JFK,chelsea,9
2,midtown,morningside heights,7
2,brooklyn-downtown,lower east side,3
2,JFK,yorkville,1
2,carnegie hill,harlem,2
2,upper west side,JFK,5
2,carnegie hill,central park,7
2,jamaica,central park,1
2,garment district,high bridge,1
2,lower east side,harlem,1
2,LGA,upper west side,26
2,chelsea,tribeca,16
2,west village,financial district,3
2,morningside heights,greenwich village,3
2,chelsea,mott haven,1
2,midtown,little italy,8
2,LGA,tremont,2
2,lower east side,LGA,1
2,LGA,greewood,2
2,harlem,garment district,1
2,brooklyn-downtown,financial district,1
2,upper east side,little italy,2
2,north sutton area,gramercy,8
2,inwood,inwood,1
