YR--MODAHRMN,TEMP
201506301951,73
201506302051,73
201506302100,73
201506302151,73
201506302251,73
201506302351,73
201507010000,73
201507010051,73
201507010151,73
201507010251,****
201507010300,73
201507010351,73
201507010440,73
201507010451,73
201507010459,73
201507010541,73
201507010551,72
201507010600,72
201507010651,72
201507010751,72
201507010842,71
201507010851,71
201507010853,72
201507010900,72
201507010928,73
201507010951,73
201507011051,74
201507011151,76
201507011200,76
201507011251,78
201507011349,81
201507011351,82
201507011451,82
201507011500,81
201507011551,81
201507011651,84
201507011751,84
201507011800,85
201507011851,84
201507011951,83
201507012051,83
201507012100,82
201507012151,80
201507012251,80
201507012351,80
201507020000,79
201507020051,77
201507020151,****
201507020251,76
201507020300,76
201507020351,74
201507020451,73
201507020459,71
201507020551,71
201507020600,71
201507020651,74
201507020751,75
201507020851,75
201507020900,77
201507020951,77
201507021051,80
201507021151,80
201507021200,80
201507021251,78
201507021351,78
201507021451,78
201507021500,79
201507021551,76
201507021651,74
201507021751,74
201507021800,72
201507021851,72
201507021951,71
201507022051,71
201507022100,70
201507022151,69
201507022251,69
201507022351,69
201507030000,70
201507030051,69
201507030151,****
201507030251,70
201507030300,70
201507030351,70
201507030451,68
201507030459,67
201507030551,67
201507030600,66
201507030651,68
201507030751,70
201507030851,70
201507030900,72
201507030951,75
201507031051,78
201507031151,78
201507031200,80
201507031251,81
201507031351,81
201507031451,81
201507031500,81
201507031551,81
201507031651,77
201507031751,77
201507031800,77
201507031851,75
201507031951,74
201507032051,74
201507032100,72
201507032151,72
201507032251,71
201507032351,71
201507040000,71
201507040051,71
201507040151,****
201507040251,71
201507040300,71
201507040351,71
201507040451,71
201507040459,70
201507040551,70
201507040600,70
201507040651,71
201507040751,72
201507040851,72
201507040900,73
201507040951,73
201507041051,74
201507041151,74
201507041200,77
201507041251,75
201507041351,74
201507041451,74
201507041500,71
201507041551,77
201507041651,79
201507041751,79
201507041800,80
201507041851,79
201507041951,74
201507042051,74
201507042100,73
201507042151,71
201507042251,70
201507042351,70
201507050000,69
201507050051,68
201507050151,****
201507050251,68
201507050300,68
201507050351,68
201507050451,68
201507050459,70
201507050551,70
201507050600,71
201507050651,73
201507050751,74
201507050851,74
201507050900,75
201507050951,76
201507051051,78
201507051151,78
201507051200,79
201507051251,79
201507051351,80
201507051451,80
201507051500,80
201507051551,79
201507051651,79
201507051751,79
201507051800,77
201507051851,76
201507051951,75
201507052051,75
201507052100,74
201507052151,73
201507052251,72
201507052351,72
201507060000,71
201507060051,71
201507060151,****
201507060251,71
201507060300,71
201507060351,70
201507060451,70
201507060459,69
201507060551,69
201507060600,70
201507060651,72
201507060751,73
201507060851,73
201507060900,77
201507060951,78
201507061051,79
201507061151,79
201507061200,79
201507061251,80
201507061351,82
201507061451,82
201507061500,81
201507061551,80
201507061651,80
201507061751,80
201507061800,80
201507061851,78
201507061951,76
201507062051,76
201507062100,75
201507062151,75
201507062251,73
201507062351,74
201507070000,74
201507070047,74
201507070051,74
201507070138,73
201507070151,73
201507070251,74
201507070300,****
201507070351,75
201507070430,75
201507070449,75
201507070451,75
201507070459,75
201507070551,75
201507070600,75
201507070623,75
201507070649,75
201507070651,75
201507070751,75
201507070851,75
201507070900,76
201507070912,75
201507070949,75
201507070951,77
201507071049,77
201507071051,76
201507071055,76
201507071105,79
201507071131,79
201507071140,80
201507071151,81
201507071200,82
201507071241,82
201507071249,83
201507071251,84
201507071351,84
201507071451,81
201507071500,82
201507071551,82
201507071649,82
201507071651,82
201507071727,82
201507071751,83
201507071757,82
201507071800,84
201507071807,84
201507071845,80
201507071851,80
201507071951,81
201507072051,81
201507072100,78
201507072151,76
201507072251,76
201507072351,76
201507080000,77
201507080051,77
201507080151,****
201507080251,76
201507080300,76
201507080351,75
201507080451,75
201507080459,75
201507080551,75
201507080600,76
201507080651,76
201507080751,79
201507080851,79
201507080900,80
201507080951,81
201507081051,83
201507081151,83
201507081200,85
201507081251,86
201507081351,88
201507081451,88
201507081500,88
201507081551,84
201507081651,83
201507081751,83
201507081800,82
201507081851,77
201507081951,78
201507082051,79
201507082100,78
201507082124,79
201507082148,79
201507082151,77
201507082211,77
201507082251,77
201507082351,77
201507090000,76
201507090051,75
201507090151,****
201507090251,76
201507090300,76
201507090351,75
201507090451,74
201507090459,73
201507090551,73
201507090600,72
201507090651,73
201507090751,73
201507090851,73
201507090900,72
201507090951,72
201507091051,73
201507091112,73
201507091151,75
201507091251,74
201507091351,74
201507091451,74
201507091500,75
201507091551,77
201507091651,76
201507091751,77
201507091800,77
201507091851,76
201507091931,74
201507091951,73
201507092051,73
201507092100,73
201507092151,72
201507092251,72
201507092351,72
201507100000,73
201507100051,73
201507100106,73
201507100147,73
201507100151,74
201507100237,73
201507100251,74
201507100300,****
201507100319,75
201507100351,75
201507100411,75
201507100451,75
201507100459,75
201507100551,75
201507100600,74
201507100627,74
201507100651,73
201507100727,73
