YR--MODAHRMN,MAX,MIN,PCP01,SD
201501190251,43,36,0,**
201501190300,43,27,*****,**
201501190351,***,***,0,**
201501190451,***,***,0,**
201501190459,***,***,0,**
201501190551,***,***,*****,**
201501190600,***,***,0,**
201501190651,***,***,0,**
201501190751,38,35,0,**
201501190851,47,35,*****,**
201501190900,***,***,0,**
201501190951,***,***,0,**
201501191051,***,***,0,**
201501191151,***,***,*****,**
201501191200,***,***,0,**
201501191251,***,***,0,**
201501191351,45,37,0,**
201501191451,45,37,*****,**
201501191500,***,***,0,**
201501191551,***,***,0,**
201501191651,***,***,0,T**
201501191751,***,***,*****,**
201501191800,***,***,0,**
201501191851,***,***,0,**
201501191951,43,40,0,**
201501192051,45,35,*****,**
201501192100,***,***,0,**
201501192151,***,***,0,**
201501192251,***,***,0,**
201501192351,***,***,*****,**
201501200000,***,***,0,**
201501200051,45,35,0,**
201501200151,45,***,*****,0
201501200251,41,39,0,**
201501200300,41,35,*****,**
201501200351,***,***,0,**
201501200451,***,***,0,**
201501200459,***,***,0,**
201501200551,***,***,*****,**
201501200600,***,***,0,**
201501200651,***,***,0,**
201501200751,40,35,0,**
201501200851,45,35,*****,**
201501200900,***,***,0,**
201501200951,***,***,0,**
201501201051,***,***,0,**
201501201151,***,***,*****,**
201501201200,***,***,0,**
201501201251,***,***,0,**
201501201351,41,35,0,**
201501201451,41,35,*****,**
201501201500,***,***,0,**
201501201551,***,***,0,**
201501201651,***,***,0,**
201501201751,***,***,*****,**
201501201800,***,***,0,**
201501201851,***,***,0,**
201501201951,41,39,0,**
201501202051,41,35,*****,**
201501202100,***,***,0,**
201501202151,***,***,0,**
201501202251,***,***,0,**
201501202351,***,***,*****,**
201501210000,***,***,0,**
201501210051,41,32,0,**
201501210151,41,***,*****,0
201501210251,40,31,0,**
201501210300,40,31,*****,**
201501210351,***,***,0,**
201501210451,***,***,0,**
201501210459,***,***,0,**
201501210551,***,***,*****,**
201501210600,***,***,0,**
201501210651,***,***,0,**
201501210751,31,26,0,**
201501210851,41,26,*****,**
201501210900,***,***,0,**
201501210951,***,***,0,**
201501211051,***,***,0,**
201501211151,***,***,*****,**
201501211200,***,***,0,**
201501211251,***,***,0,**
201501211351,35,26,0,**
201501211451,35,26,*****,**
